15:53:51 kwargs,  {'id': -1} <class 'dict'>
15:55:16 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:55:46 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:56:26 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:56:26 kwargs,  {'id': -1} <class 'dict'>
15:56:34 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:56:34 kwargs,  {'id': -1} <class 'dict'>
15:58:07 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:58:08 kwargs,  {'id': -1} <class 'dict'>
15:59:07 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:59:07 kwargs,  {'id': -1} <class 'dict'>
15:59:41 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
15:59:42 kwargs,  {'id': -1} <class 'dict'>
16:00:16 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
16:00:17 kwargs,  {'id': -1} <class 'dict'>
16:05:38 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
16:05:38 debug 0
16:05:39 kwargs,  {'id': -1} <class 'dict'>
16:05:59 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
16:06:00 kwargs,  {'id': 1} <class 'dict'>
16:06:43 kwargs,  {'id': 1} <class 'dict'>
16:41:11 kwargs,  {'id': 1} <class 'dict'>
16:41:17 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
16:41:17 kwargs,  {'id': 1} <class 'dict'>
16:45:12 kwargs,  {'id': 1} <class 'dict'>
16:46:01 kwargs,  {'id': 1} <class 'dict'>
16:46:01 kwargs,  {'id': 1} <class 'dict'>
16:47:53 kwargs,  {'id': 1} <class 'dict'>
16:47:53 kwargs,  {'id': 2} <class 'dict'>
16:49:57 kwargs,  {'id': 1} <class 'dict'>
16:50:00 kwargs,  {'id': 2} <class 'dict'>
16:50:34 kwargs,  {'id': 1} <class 'dict'>
16:50:34 kwargs,  {'id': 3} <class 'dict'>
16:50:43 kwargs,  {'id': 3} <class 'dict'>
17:05:29 kwargs,  {'id': 1} <class 'dict'>
17:05:43 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
17:05:43 kwargs,  {'id': 1} <class 'dict'>
17:07:35 kwargs,  {'id': 1} <class 'dict'>
17:08:02 kwargs,  {'id': 1} <class 'dict'>
17:08:02 debug 0
17:08:31 kwargs,  {'id': 1} <class 'dict'>
17:08:31 kwargs,  {'id': 1} <class 'dict'>
17:08:31 debug 0
17:08:31 kwargs,  {'id': 1} <class 'dict'>
17:08:31 kwargs,  {'id': 1} <class 'dict'>
17:08:34 kwargs,  {'id': 1} <class 'dict'>
17:08:34 kwargs,  {'id': 1} <class 'dict'>
17:08:34 debug 0
17:08:34 kwargs,  {'id': 1} <class 'dict'>
17:08:34 kwargs,  {'id': 1} <class 'dict'>
17:08:34 kwargs,  {'id': 1} <class 'dict'>
17:08:34 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 debug 0
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:36 kwargs,  {'id': 1} <class 'dict'>
17:08:41 kwargs,  {'id': 1} <class 'dict'>
17:08:53 kwargs,  {'id': 2} <class 'dict'>
17:08:53 debug 1
17:08:54 kwargs,  {'id': 1} <class 'dict'>
17:08:55 kwargs,  {'id': 2} <class 'dict'>
17:08:55 debug 1
17:08:55 kwargs,  {'id': 1} <class 'dict'>
17:08:55 kwargs,  {'id': 1} <class 'dict'>
17:08:57 kwargs,  {'id': 1} <class 'dict'>
17:08:57 kwargs,  {'id': 2} <class 'dict'>
17:08:57 debug 1
17:08:57 kwargs,  {'id': 1} <class 'dict'>
17:08:57 kwargs,  {'id': 1} <class 'dict'>
17:08:57 kwargs,  {'id': 1} <class 'dict'>
17:08:57 kwargs,  {'id': 1} <class 'dict'>
17:09:10 kwargs,  {'id': 1} <class 'dict'>
17:09:10 kwargs,  {'id': 4} <class 'dict'>
17:09:10 debug 3
10:02:05 kwargs,  {'id': 1} <class 'dict'>
10:02:16 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
10:02:16 kwargs,  {'id': 1} <class 'dict'>
10:02:26 kwargs,  {'id': 1} <class 'dict'>
10:03:11 kwargs,  {'id': 1} <class 'dict'>
10:03:19 kwargs,  {'id': 1} <class 'dict'>
10:03:43 kwargs,  {'id': 1} <class 'dict'>
10:05:12 kwargs,  {'id': 1} <class 'dict'>
10:13:03 kwargs,  {'username': 'boluodaxia'} <class 'dict'>
10:13:03 kwargs,  {'id': 1} <class 'dict'>
10:13:06 kwargs,  {'id': 1} <class 'dict'>
10:13:35 kwargs,  {'id': 1} <class 'dict'>
10:14:21 kwargs,  {'id': 1} <class 'dict'>
10:14:31 kwargs,  {'id': 1} <class 'dict'>
10:15:26 kwargs,  {'id': 1} <class 'dict'>
10:16:54 kwargs,  {'id': 1} <class 'dict'>
10:18:38 kwargs,  {'id': 1} <class 'dict'>
